van_precinct_id,county_name,van_precinct_name,Current Region,Current Turf,Comments,HDs,voters,supporters,,
296006,Fairfax,916 - Waples Mill,R02 - Fairfax,R02D - Fair Oaks,,7,4624,2730,,
297217,Fairfax (City),001 - One,R02 - Fairfax,R02D - Fair Oaks,,11,2704,1735,,
297222,Fairfax (City),006 - Six,R02 - Fairfax,R02D - Fair Oaks,,11,2832,1808,,
295993,Fairfax,851 - Willow Springs #1,R02 - Fairfax,R02D - Fair Oaks,,10,1329,785,,
295830,Fairfax,225 - Hughes,R02 - Fairfax,R02D - Fair Oaks,,7,4536,3378,,
296002,Fairfax,911 - Navy,R02 - Fairfax,R02D - Fair Oaks,,8,4389,2830,,
295833,Fairfax,229 - Fox Mill #1,R02 - Fairfax,R02D - Fair Oaks,,8,4260,2737,,
295990,Fairfax,848 - Fair Oaks,R02 - Fairfax,R02D - Fair Oaks,,9,4714,3268,,
296000,Fairfax,908 - Hidden Meadow,R02 - Fairfax,R02D - Fair Oaks,,8,2481,1544,,
296010,Fairfax,920 - Chantilly,R02 - Fairfax,R02D - Fair Oaks,,8,2463,1676,,
2228509,Fairfax,857 - Island Pond,R02 - Fairfax,R02D - Fair Oaks,,11,209,150,,
1569572,Fairfax,804 - Colchester,R02 - Fairfax,R02D - Fair Oaks,,10,2003,1030,,
295828,Fairfax,223 - Glade,R02 - Fairfax,R02D - Fair Oaks,,7,4071,2964,,
295826,Fairfax,221 - Hunters Woods,R02 - Fairfax,R02D - Fair Oaks,,7,2891,1964,,
295971,Fairfax,803 - Clifton South,R02 - Fairfax,R02D - Fair Oaks,,10,2705,1256,,
295989,Fairfax,847 - Greenbriar West,R02 - Fairfax,R02D - Fair Oaks,,9,2659,1601,,
295988,Fairfax,846 - Greenbriar East,R02 - Fairfax,R02D - Fair Oaks,,9,4093,2717,,
295829,Fairfax,224 - South Lakes,R02 - Fairfax,R02D - Fair Oaks,,7,5096,3657,,
295972,Fairfax,805 - Fairfax Station,R02 - Fairfax,R02D - Fair Oaks,,10,1664,815,,
295825,Fairfax,220 - Dogwood,R02 - Fairfax,R02D - Fair Oaks,,7,4929,3534,,
295994,Fairfax,132 - Monument,R02 - Fairfax,R02D - Fair Oaks,,11,5694,4004,,
892245,Fairfax,131 - Eagle View #1,R02 - Fairfax,R02D - Fair Oaks,,11,2197,1530,,
295985,Fairfax,843 - Fair Lakes,R02 - Fairfax,R02D - Fair Oaks,,9,3761,2496,,
1569571,Fairfax,802 - Cedar Lake,R02 - Fairfax,R02D - Fair Oaks,,9,1909,1347,,
2228493,Fairfax,138 - Eagle View #2,R02 - Fairfax,R02D - Fair Oaks,,10,2160,1270,,
