van_precinct_id,van_precinct_name,county_name,Current Region,Current Turf,HDs,Zips,voters,supporters
2274048,106 - Precinct 106,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10C - HD 97,097,"23462, 23452",2370,1359
2274049,611 - Six Hundred Eleven,Richmond (City),R07 - South Richmond,R07D - Placeholder1,079,"23236, 23224, 23060",2346,2009
2302171,328 - Hovatter,Loudoun,R03 - Loudoun,R03C - HD 30,030,20105,2415,1271
2302174,221 - Seneca,Loudoun,R03 - Loudoun,R03H - Sterling,027,"20165, 20164, 22066",2845,1564
2302178,825 - Waxpool,Loudoun,R03 - Loudoun,R03D - Leesburg,029,"20175, 20148, 20190",3032,1843
295345,601 - Accomac,Accomack,R10 - Virginia Beach / Norfolk,R10F - North,100,"23421, 23418, 23301, 23441, 23357, 23417",2263,897
295346,701 - Nandua,Accomack,R10 - Virginia Beach / Norfolk,R10F - North,100,"23480, 23301, 23417, 23404, 23418, 23420, 23410, 23441",3042,1259
295375,406 - Stone Robinson,Albemarle,R14 - Charlottesville,R14C - S Charlottesville,055,"22205, 22902, 22911, 22947, 22974",3617,1914
295382,602 - Free Union,Albemarle,R14 - Charlottesville,R14E - UV,055,"22936, 22901, 22932, 22940, 22935",1552,699
295393,401 - Low Moor,Alleghany,R12 - Shenandoah,R12B - North Roanoke,037,"24457, 24422, 24474, 24426",742,159
295530,604 - Bedford Elementary School,Bedford,R13 - Southwest,R13E - Lynchburg,"051, 053",24523,2865,671
295546,201 - Blue Ridge,Botetourt,R12 - Shenandoah,R12B - North Roanoke,037,"24064, 24012",2674,407
295559,502 - Cloverdale,Botetourt,R12 - Shenandoah,R12B - North Roanoke,037,"24077, 24019, 24175, 20109",3474,749
295606,301 - Evington,Campbell,R13 - Southwest,R13E - Lynchburg,051,"24571, 24550",1535,201
