van_precinct_id,county_name,van_precinct_name,Current Region,Current Turf,HDs,voters,supporters,precinct_name_doe,GEOID,centroid_lat,centroid_lon,min_lon,min_lat,max_lon,max_lat,Changed
297292,Lynchburg (City),101 - First Ward First Precinct,R13 - Southwest,R13E - Lynchburg,52,5112,2332,Ward I Precinct 1,51680000101,37.39923363550818,-79.22684718240478,-79.254390774963,37.37485478450484,-79.19630773708775,37.42191180402873,False
295410,Amherst,301 - Monroe,R13 - Southwest,R13E - Lynchburg,53,1259,252,Monroe,51009000301,37.55078197368795,-79.14764812483881,-79.19353599965164,37.48502800031537,-79.09785299998917,37.61761000029275,False
295511,Bedford,204 - Huddleston Elementary School,R13 - Southwest,R13E - Lynchburg,51,1696,163,Huddleston Elementary School,51019000204,37.15893566329069,-79.43507099039196,-79.5308279557362,37.0555673172021,-79.3304159008389,37.24559636102965,False
295520,Bedford,403 - Pleasant View Baptist Church,R13 - Southwest,R13E - Lynchburg,53,2684,455,Pleasant View Baptist Church,51019000403,37.38057676357144,-79.25636953895562,-79.27839589285347,37.36491938879315,-79.23252888013528,37.396870395402566,False
297298,Lynchburg (City),202 - Second Ward Second Precinct,R13 - Southwest,R13E - Lynchburg,52,4832,3148,Ward II Precinct 2,51680000202,37.40376072706992,-79.14944400019711,-79.17831072878558,37.39268279787557,-79.12559669588636,37.417434808815315,False
295605,Campbell,202 - Bedford Springs,R13 - Southwest,R13E - Lynchburg,51,3063,486,BEDFORD SPRINGS,51031000202,37.290662459265405,-79.26587471250966,-79.30256726375022,37.26192536632337,-79.23135487458539,37.310970378299466,False
297650,Virginia Beach (City),024 - Precinct 24,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,1263,459,PRECINCT 24,51810000024,36.8184061874841,-76.13560133687257,-76.14705447172416,36.81104396258097,-76.12465855271454,36.82623902395121,False
295405,Amherst,102 - New Glasgow,R13 - Southwest,R13E - Lynchburg,53,2137,484,New Glasgow,51009000102,37.574009828625506,-78.97172954386122,-79.0480809999511,37.46872899985018,-78.86764299976925,37.705404000725494,False
295414,Amherst,402 - Lonco,R13 - Southwest,R13E - Lynchburg,53,1249,256,Lonco,51009000402,37.51027013141876,-79.0830837015402,-79.12076000020835,37.47210499985341,-79.04684499986683,37.542951999897475,False
297308,Lynchburg (City),404 - Fourth Ward Fourth Precinct,R13 - Southwest,R13E - Lynchburg,52,3787,1775,Ward IV Precinct 4,51680000404,37.41783416234242,-79.19843626739902,-79.21781375443422,37.39945479654509,-79.18146472991779,37.43967081365335,False
